id,title,question,type,select_index,select
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,0,経済政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,1,外交・安全保障政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,2,社会保障政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,3,子ども・教育政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,4,農林水産政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,5,エネルギー・環境政策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,6,行財政改革
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,7,政治とカネの問題など政治改革
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,8,憲法改正
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,9,災害対策
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,10,地方の活性化
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,11,その他
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,1,12,回答しない
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,1,0,大いにある
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,1,1,ある程度ある
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,1,2,あまりない
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,1,3,まったくない
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,1,4,回答しない
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,1,0,賛成
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,1,1,反対
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,1,2,回答しない
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,1,0,賛成
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,1,1,反対
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,1,2,回答しない
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,0,賃上げ環境の整備
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,1,家計への支援
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,2,低所得世帯への支援
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,3,事業者への支援
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,4,減税
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,5,回答しない
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,1,0,黒字化目標を堅持し、<br class='pc-only'>財政健全化を優先すべきだ
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,1,1,財政規律より積極的な<br class='pc-only'>財政出動を優先すべきだ
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,1,2,回答しない
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,1,0,賛成
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,1,1,反対
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,1,2,回答しない
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,0,高齢者の負担を増やすべき
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,1,現役世代の負担を増やすべき
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,2,所得が多い人の負担を増やすべき
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,3,給付を抑制して、負担を増やさないようにすべき
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,4,その他
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,1,5,回答しない
8,マイナ保険証で保険証廃止の是非,マイナンバーカードと保険証の一体化にともない、いまの健康保険証を12月に廃止する政府の方針についてどう考えますか。,1,0,方針通り廃止すべき
8,マイナ保険証で保険証廃止の是非,マイナンバーカードと保険証の一体化にともない、いまの健康保険証を12月に廃止する政府の方針についてどう考えますか。,1,1,廃止時期を延期すべき
8,マイナ保険証で保険証廃止の是非,マイナンバーカードと保険証の一体化にともない、いまの健康保険証を12月に廃止する政府の方針についてどう考えますか。,1,2,廃止すべきでない
8,マイナ保険証で保険証廃止の是非,マイナンバーカードと保険証の一体化にともない、いまの健康保険証を12月に廃止する政府の方針についてどう考えますか。,1,3,回答しない
9,少子化対策で最優先すべきこと,少子化対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,0,若者の所得向上や雇用環境の改善
9,少子化対策で最優先すべきこと,少子化対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,1,子育て世帯に対する経済支援の強化
9,少子化対策で最優先すべきこと,少子化対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,2,仕事と育児の両立に向けた働き方改革
9,少子化対策で最優先すべきこと,少子化対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,1,3,保育サービスの充実
